"Back","Retour"
"Execute Action","Exécuter l'action"
"Reset","Réinitialiser"
"Attribute Code","Code d'attribut"
"Anonymizer","Anonymiseur"
"Add Attribute's Anonymizer","Ajouter un anonymiseur d'attribut"
"Component","Composant"
"Processor","Processeur"
"Add Component Erasure Strategy","Ajouter une stratégie d'effacement pour un composant"
"Erase Personal Data","Effacer les données personnelles"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cette action?"
"Export Personal Data","Exporter les données personnelles"
"The action state is now: %1.","L'action est maintenant: %1."
"An error occurred on the server.","Une erreur est survenue sur le serveur."
"View Actions","Voir les actions"
"GDPR","RGPD"
"Please correct the data sent.","Veuillez corriger les données envoyés."
"Action with ID ""%1"": %2","Action avec l'ID ""%1"": %2"
"A total of %1 record(s) have been deleted.","Un total de %1 enregistrements ont été supprimés."
"Execute New Action","Exécuter une nouvelle action"
"You erased the order.","Vous avez effacé la commande."
"You erased the customer.","Vous avez effacé le client."
"Customer with id ""%1"": %2","Client avec l'id ""%1"": %2"
"A total of %1 record(s) were erased.","Un total de %1 enregistrement(s) ont été effacé(s)."
"The document does not exists and may have expired. Please renew your demand.","Le document n'existe pas ou peut être expiré. Veuillez renouveler votre demande."
"Something went wrong, please try again later!","Quelque chose ne s'est pas bien passé, essayez à nouveau plus tard !"
"Your personal data is being removed soon.","Vos données personnelles vont être bientôt supprimées."
"You will be notified when the export is ready.","Vous serez notifié lorsque l'export sera prêt."
"A document is already available in your order page.","Un document est déjà disponible sur votre historique de commande."
"You canceled your personal data deletion.","Vous avez annulé la supression de vos données personelles."
"Your account is already being removed.","Votre compte est déjà en cours de suppression."
"The session initialization has failed.","L'initialisation des la session a échouée."
"You did not sign in correctly or your account is temporarily disabled.","Vous ne vous êtes pas correctement identifié ou votre compte a été temporairement désactivé."
"A document is already available in your account.","Un document est déjà disponible dans votre espace personnel."
"You canceled your account deletion.","Vous avez annulé la suppression de votre compte."
"Could not save the entity.","Impossible de sauvegarder l'entité."
"Could not delete entity with id ""%1"".","Impossible de supprimer l'entité avec l'id ""%1""."
"File ""%1"" does not exists.","Le fichier ""%1"" n'existe pas."
"Succeeded","Succès"
"Failed","Raté"
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","Impossible d'initier l'effacement, une demande est déjà en cours ou il existe des commandes en cours."
"The erasure process is running and cannot be undone.","Le processus d'effacement est en cours et ne peut pas être annulé."
"Impossible to process the erasure, there is still pending orders.","Impossible de procéder à l'effacement, il existe des commandes en cours."
"Impossible to process the erasure: %1","Impossible de traiter l'effacement: %1"
